[2022-10-20 15:51:58,493][INFO] start training!
[2022-10-20 15:52:00,815][INFO] Train Epoch: 1  [0/1000 (0%)]     Batch_Loss: 0.014525       Batch_Acc: 50.000%
[2022-10-20 15:52:00,815][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:02,944][INFO] Train Epoch: 1  [50/1000 (5%)]     Batch_Loss: 0.013638       Batch_Acc: 58.000%
[2022-10-20 15:52:02,944][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:04,547][INFO] Train Epoch: 1  [100/1000 (10%)]     Batch_Loss: 0.014735       Batch_Acc: 46.000%
[2022-10-20 15:52:04,547][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:05,441][INFO] Train Epoch: 1  [150/1000 (15%)]     Batch_Loss: 0.014038       Batch_Acc: 56.000%
[2022-10-20 15:52:05,442][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:06,644][INFO] Train Epoch: 1  [200/1000 (20%)]     Batch_Loss: 0.014991       Batch_Acc: 42.000%
[2022-10-20 15:52:06,644][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:08,128][INFO] Train Epoch: 1  [250/1000 (25%)]     Batch_Loss: 0.013941       Batch_Acc: 56.000%
[2022-10-20 15:52:08,128][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:10,151][INFO] Train Epoch: 1  [300/1000 (30%)]     Batch_Loss: 0.013538       Batch_Acc: 58.000%
[2022-10-20 15:52:10,152][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:12,140][INFO] Train Epoch: 1  [350/1000 (35%)]     Batch_Loss: 0.014505       Batch_Acc: 46.000%
[2022-10-20 15:52:12,140][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:14,150][INFO] Train Epoch: 1  [400/1000 (40%)]     Batch_Loss: 0.014735       Batch_Acc: 40.000%
[2022-10-20 15:52:14,152][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:15,632][INFO] Train Epoch: 1  [450/1000 (45%)]     Batch_Loss: 0.014150       Batch_Acc: 50.000%
[2022-10-20 15:52:15,632][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:16,634][INFO] Train Epoch: 1  [500/1000 (50%)]     Batch_Loss: 0.013583       Batch_Acc: 50.000%
[2022-10-20 15:52:16,635][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:17,147][INFO] Train Epoch: 1  [550/1000 (55%)]     Batch_Loss: 0.014101       Batch_Acc: 48.000%
[2022-10-20 15:52:17,148][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:18,032][INFO] Train Epoch: 1  [600/1000 (60%)]     Batch_Loss: 0.012263       Batch_Acc: 64.000%
[2022-10-20 15:52:18,032][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:18,831][INFO] Train Epoch: 1  [650/1000 (65%)]     Batch_Loss: 0.014431       Batch_Acc: 38.000%
[2022-10-20 15:52:18,831][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:19,539][INFO] Train Epoch: 1  [700/1000 (70%)]     Batch_Loss: 0.013585       Batch_Acc: 48.000%
[2022-10-20 15:52:19,539][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:20,330][INFO] Train Epoch: 1  [750/1000 (75%)]     Batch_Loss: 0.014186       Batch_Acc: 46.000%
[2022-10-20 15:52:20,330][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:21,338][INFO] Train Epoch: 1  [800/1000 (80%)]     Batch_Loss: 0.012319       Batch_Acc: 54.000%
[2022-10-20 15:52:21,338][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:22,644][INFO] Train Epoch: 1  [850/1000 (85%)]     Batch_Loss: 0.013145       Batch_Acc: 42.000%
[2022-10-20 15:52:22,645][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:23,851][INFO] Train Epoch: 1  [900/1000 (90%)]     Batch_Loss: 0.012987       Batch_Acc: 50.000%
[2022-10-20 15:52:23,851][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 15:52:25,335][INFO] Train Epoch: 1  [950/1000 (95%)]     Batch_Loss: 0.012548       Batch_Acc: 58.000%
