[2022-10-19 19:32:08,370][INFO] start training!
[2022-10-19 19:32:09,018][INFO] Train Epoch: 1  [0/1000 (0%)]     Batch_Loss: 0.013852       Batch_Acc: 48.000%
[2022-10-19 19:32:09,018][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:09,331][INFO] Train Epoch: 1  [50/1000 (5%)]     Batch_Loss: 0.013818       Batch_Acc: 58.000%
[2022-10-19 19:32:09,331][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:09,700][INFO] Train Epoch: 1  [100/1000 (10%)]     Batch_Loss: 0.013851       Batch_Acc: 50.000%
[2022-10-19 19:32:09,700][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:10,105][INFO] Train Epoch: 1  [150/1000 (15%)]     Batch_Loss: 0.013812       Batch_Acc: 58.000%
[2022-10-19 19:32:10,106][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:10,420][INFO] Train Epoch: 1  [200/1000 (20%)]     Batch_Loss: 0.013854       Batch_Acc: 48.000%
[2022-10-19 19:32:10,420][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:10,905][INFO] Train Epoch: 1  [250/1000 (25%)]     Batch_Loss: 0.013809       Batch_Acc: 60.000%
[2022-10-19 19:32:10,905][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:11,591][INFO] Train Epoch: 1  [300/1000 (30%)]     Batch_Loss: 0.013877       Batch_Acc: 42.000%
[2022-10-19 19:32:11,592][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:12,301][INFO] Train Epoch: 1  [350/1000 (35%)]     Batch_Loss: 0.013861       Batch_Acc: 46.000%
[2022-10-19 19:32:12,301][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:12,697][INFO] Train Epoch: 1  [400/1000 (40%)]     Batch_Loss: 0.013838       Batch_Acc: 54.000%
[2022-10-19 19:32:12,697][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:13,316][INFO] Train Epoch: 1  [450/1000 (45%)]     Batch_Loss: 0.013881       Batch_Acc: 42.000%
[2022-10-19 19:32:13,316][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:14,126][INFO] Train Epoch: 1  [500/1000 (50%)]     Batch_Loss: 0.013836       Batch_Acc: 52.000%
[2022-10-19 19:32:14,126][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:14,809][INFO] Train Epoch: 1  [550/1000 (55%)]     Batch_Loss: 0.013861       Batch_Acc: 46.000%
[2022-10-19 19:32:14,809][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:15,509][INFO] Train Epoch: 1  [600/1000 (60%)]     Batch_Loss: 0.013886       Batch_Acc: 40.000%
[2022-10-19 19:32:15,510][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:16,289][INFO] Train Epoch: 1  [650/1000 (65%)]     Batch_Loss: 0.013812       Batch_Acc: 58.000%
[2022-10-19 19:32:16,290][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:16,913][INFO] Train Epoch: 1  [700/1000 (70%)]     Batch_Loss: 0.013818       Batch_Acc: 54.000%
[2022-10-19 19:32:16,914][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:17,593][INFO] Train Epoch: 1  [750/1000 (75%)]     Batch_Loss: 0.013811       Batch_Acc: 58.000%
[2022-10-19 19:32:17,593][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:18,291][INFO] Train Epoch: 1  [800/1000 (80%)]     Batch_Loss: 0.013895       Batch_Acc: 38.000%
[2022-10-19 19:32:18,291][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:19,018][INFO] Train Epoch: 1  [850/1000 (85%)]     Batch_Loss: 0.013870       Batch_Acc: 42.000%
[2022-10-19 19:32:19,018][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:19,713][INFO] Train Epoch: 1  [900/1000 (90%)]     Batch_Loss: 0.013810       Batch_Acc: 60.000%
[2022-10-19 19:32:19,713][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:20,485][INFO] Train Epoch: 1  [950/1000 (95%)]     Batch_Loss: 0.013860       Batch_Acc: 46.000%
[2022-10-19 19:32:20,485][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:20,485][INFO] ###############################################################################################################

[2022-10-19 19:32:20,486][INFO] Train Epoch: [1\200]	time: 12s
[2022-10-19 19:32:20,486][INFO] lr_rate: 0.0001

[2022-10-19 19:32:20,486][INFO] Train_Loss: 0.013846      Train_Acc: 50.000%

[2022-10-19 19:32:20,486][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:22,953][INFO] Test_Loss: 0.013850      Test_Acc: 50.000%

[2022-10-19 19:32:22,953][INFO] --------------------------------------------------------
[2022-10-19 19:32:23,211][INFO] start training!
[2022-10-19 19:32:24,113][INFO] Train Epoch: 2  [0/1000 (0%)]     Batch_Loss: 0.013802       Batch_Acc: 60.000%
[2022-10-19 19:32:24,114][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:24,905][INFO] Train Epoch: 2  [50/1000 (5%)]     Batch_Loss: 0.013811       Batch_Acc: 58.000%
[2022-10-19 19:32:24,906][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:25,596][INFO] Train Epoch: 2  [100/1000 (10%)]     Batch_Loss: 0.013910       Batch_Acc: 34.000%
[2022-10-19 19:32:25,597][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:26,306][INFO] Train Epoch: 2  [150/1000 (15%)]     Batch_Loss: 0.013800       Batch_Acc: 58.000%
[2022-10-19 19:32:26,306][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:26,887][INFO] Train Epoch: 2  [200/1000 (20%)]     Batch_Loss: 0.013886       Batch_Acc: 40.000%
[2022-10-19 19:32:26,888][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:27,607][INFO] Train Epoch: 2  [250/1000 (25%)]     Batch_Loss: 0.013819       Batch_Acc: 54.000%
[2022-10-19 19:32:27,607][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:28,208][INFO] Train Epoch: 2  [300/1000 (30%)]     Batch_Loss: 0.013871       Batch_Acc: 42.000%
[2022-10-19 19:32:28,208][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:29,004][INFO] Train Epoch: 2  [350/1000 (35%)]     Batch_Loss: 0.013783       Batch_Acc: 62.000%
[2022-10-19 19:32:29,004][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:29,781][INFO] Train Epoch: 2  [400/1000 (40%)]     Batch_Loss: 0.013878       Batch_Acc: 40.000%
[2022-10-19 19:32:29,781][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:30,507][INFO] Train Epoch: 2  [450/1000 (45%)]     Batch_Loss: 0.013805       Batch_Acc: 56.000%
[2022-10-19 19:32:30,508][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:31,002][INFO] Train Epoch: 2  [500/1000 (50%)]     Batch_Loss: 0.013833       Batch_Acc: 52.000%
[2022-10-19 19:32:31,002][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:31,600][INFO] Train Epoch: 2  [550/1000 (55%)]     Batch_Loss: 0.013861       Batch_Acc: 44.000%
[2022-10-19 19:32:31,600][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:32,516][INFO] Train Epoch: 2  [600/1000 (60%)]     Batch_Loss: 0.013828       Batch_Acc: 52.000%
[2022-10-19 19:32:32,516][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:33,295][INFO] Train Epoch: 2  [650/1000 (65%)]     Batch_Loss: 0.013778       Batch_Acc: 62.000%
[2022-10-19 19:32:33,296][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:34,096][INFO] Train Epoch: 2  [700/1000 (70%)]     Batch_Loss: 0.013868       Batch_Acc: 44.000%
[2022-10-19 19:32:34,096][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:35,126][INFO] Train Epoch: 2  [750/1000 (75%)]     Batch_Loss: 0.013840       Batch_Acc: 48.000%
[2022-10-19 19:32:35,126][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:35,802][INFO] Train Epoch: 2  [800/1000 (80%)]     Batch_Loss: 0.013852       Batch_Acc: 48.000%
[2022-10-19 19:32:35,802][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:36,614][INFO] Train Epoch: 2  [850/1000 (85%)]     Batch_Loss: 0.013848       Batch_Acc: 48.000%
[2022-10-19 19:32:36,614][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:37,314][INFO] Train Epoch: 2  [900/1000 (90%)]     Batch_Loss: 0.013851       Batch_Acc: 46.000%
[2022-10-19 19:32:37,315][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:38,032][INFO] Train Epoch: 2  [950/1000 (95%)]     Batch_Loss: 0.013827       Batch_Acc: 52.000%
[2022-10-19 19:32:38,032][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:38,032][INFO] ###############################################################################################################

[2022-10-19 19:32:38,033][INFO] Train Epoch: [2\200]	time: 14s
[2022-10-19 19:32:38,033][INFO] lr_rate: 0.0001

[2022-10-19 19:32:38,033][INFO] Train_Loss: 0.013837      Train_Acc: 50.000%

[2022-10-19 19:32:38,033][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:39,552][INFO] Test_Loss: 0.013842      Test_Acc: 50.000%

[2022-10-19 19:32:39,552][INFO] --------------------------------------------------------
[2022-10-19 19:32:39,562][INFO] start training!
[2022-10-19 19:32:40,193][INFO] Train Epoch: 3  [0/1000 (0%)]     Batch_Loss: 0.013843       Batch_Acc: 48.000%
[2022-10-19 19:32:40,194][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:40,916][INFO] Train Epoch: 3  [50/1000 (5%)]     Batch_Loss: 0.013796       Batch_Acc: 56.000%
[2022-10-19 19:32:40,917][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:41,607][INFO] Train Epoch: 3  [100/1000 (10%)]     Batch_Loss: 0.013806       Batch_Acc: 58.000%
[2022-10-19 19:32:41,608][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:42,207][INFO] Train Epoch: 3  [150/1000 (15%)]     Batch_Loss: 0.013863       Batch_Acc: 42.000%
[2022-10-19 19:32:42,207][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:43,197][INFO] Train Epoch: 3  [200/1000 (20%)]     Batch_Loss: 0.013836       Batch_Acc: 50.000%
[2022-10-19 19:32:43,197][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:44,111][INFO] Train Epoch: 3  [250/1000 (25%)]     Batch_Loss: 0.013886       Batch_Acc: 36.000%
[2022-10-19 19:32:44,112][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:44,990][INFO] Train Epoch: 3  [300/1000 (30%)]     Batch_Loss: 0.013830       Batch_Acc: 50.000%
[2022-10-19 19:32:44,990][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:45,817][INFO] Train Epoch: 3  [350/1000 (35%)]     Batch_Loss: 0.013874       Batch_Acc: 40.000%
[2022-10-19 19:32:45,818][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:46,697][INFO] Train Epoch: 3  [400/1000 (40%)]     Batch_Loss: 0.013787       Batch_Acc: 60.000%
[2022-10-19 19:32:46,698][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:47,516][INFO] Train Epoch: 3  [450/1000 (45%)]     Batch_Loss: 0.013760       Batch_Acc: 64.000%
[2022-10-19 19:32:47,516][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:48,482][INFO] Train Epoch: 3  [500/1000 (50%)]     Batch_Loss: 0.013833       Batch_Acc: 50.000%
[2022-10-19 19:32:48,482][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:49,197][INFO] Train Epoch: 3  [550/1000 (55%)]     Batch_Loss: 0.013850       Batch_Acc: 46.000%
[2022-10-19 19:32:49,198][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:50,014][INFO] Train Epoch: 3  [600/1000 (60%)]     Batch_Loss: 0.013732       Batch_Acc: 70.000%
[2022-10-19 19:32:50,014][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:50,815][INFO] Train Epoch: 3  [650/1000 (65%)]     Batch_Loss: 0.013796       Batch_Acc: 56.000%
[2022-10-19 19:32:50,816][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 19:32:51,626][INFO] Train Epoch: 3  [700/1000 (70%)]     Batch_Loss: 0.013851       Batch_Acc: 44.000%
[2022-10-19 19:32:51,627][INFO] -----------------------------------------------------------------------------------------------------------
