[2022-10-20 17:15:39,966][INFO] start training!
[2022-10-20 17:15:41,384][INFO] Train Epoch: 1  [0/1000 (0%)]     Batch_Loss: 0.013303       Batch_Acc: 56.000%
[2022-10-20 17:15:41,384][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:42,660][INFO] Train Epoch: 1  [50/1000 (5%)]     Batch_Loss: 0.013539       Batch_Acc: 70.000%
[2022-10-20 17:15:42,660][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:44,455][INFO] Train Epoch: 1  [100/1000 (10%)]     Batch_Loss: 0.013713       Batch_Acc: 46.000%
[2022-10-20 17:15:44,456][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:46,348][INFO] Train Epoch: 1  [150/1000 (15%)]     Batch_Loss: 0.013981       Batch_Acc: 50.000%
[2022-10-20 17:15:46,349][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:48,242][INFO] Train Epoch: 1  [200/1000 (20%)]     Batch_Loss: 0.012953       Batch_Acc: 62.000%
[2022-10-20 17:15:48,242][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:49,955][INFO] Train Epoch: 1  [250/1000 (25%)]     Batch_Loss: 0.012478       Batch_Acc: 70.000%
[2022-10-20 17:15:49,955][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:51,756][INFO] Train Epoch: 1  [300/1000 (30%)]     Batch_Loss: 0.012189       Batch_Acc: 72.000%
[2022-10-20 17:15:51,756][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:53,659][INFO] Train Epoch: 1  [350/1000 (35%)]     Batch_Loss: 0.012823       Batch_Acc: 56.000%
[2022-10-20 17:15:53,659][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:55,853][INFO] Train Epoch: 1  [400/1000 (40%)]     Batch_Loss: 0.012553       Batch_Acc: 70.000%
[2022-10-20 17:15:55,853][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:57,960][INFO] Train Epoch: 1  [450/1000 (45%)]     Batch_Loss: 0.012101       Batch_Acc: 70.000%
[2022-10-20 17:15:57,961][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:15:59,858][INFO] Train Epoch: 1  [500/1000 (50%)]     Batch_Loss: 0.011507       Batch_Acc: 68.000%
[2022-10-20 17:15:59,858][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-20 17:16:01,857][INFO] Train Epoch: 1  [550/1000 (55%)]     Batch_Loss: 0.011797       Batch_Acc: 62.000%
