[2022-10-19 22:58:37,837][INFO] start training!
[2022-10-19 22:58:38,500][INFO] Train Epoch: 1  [0/1000 (0%)]     Batch_Loss: 0.029234       Batch_Acc: 26.000%
[2022-10-19 22:58:38,501][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:38,997][INFO] Train Epoch: 1  [50/1000 (5%)]     Batch_Loss: 0.030214       Batch_Acc: 20.000%
[2022-10-19 22:58:38,997][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:39,401][INFO] Train Epoch: 1  [100/1000 (10%)]     Batch_Loss: 0.028096       Batch_Acc: 22.000%
[2022-10-19 22:58:39,402][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:39,711][INFO] Train Epoch: 1  [150/1000 (15%)]     Batch_Loss: 0.021393       Batch_Acc: 38.000%
[2022-10-19 22:58:39,711][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:40,103][INFO] Train Epoch: 1  [200/1000 (20%)]     Batch_Loss: 0.016134       Batch_Acc: 46.000%
[2022-10-19 22:58:40,103][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:40,494][INFO] Train Epoch: 1  [250/1000 (25%)]     Batch_Loss: 0.019053       Batch_Acc: 34.000%
[2022-10-19 22:58:40,494][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:40,873][INFO] Train Epoch: 1  [300/1000 (30%)]     Batch_Loss: 0.015467       Batch_Acc: 50.000%
[2022-10-19 22:58:40,873][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:41,179][INFO] Train Epoch: 1  [350/1000 (35%)]     Batch_Loss: 0.014109       Batch_Acc: 60.000%
[2022-10-19 22:58:41,179][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:41,601][INFO] Train Epoch: 1  [400/1000 (40%)]     Batch_Loss: 0.013110       Batch_Acc: 66.000%
[2022-10-19 22:58:41,601][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:41,986][INFO] Train Epoch: 1  [450/1000 (45%)]     Batch_Loss: 0.012065       Batch_Acc: 66.000%
[2022-10-19 22:58:41,986][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:42,297][INFO] Train Epoch: 1  [500/1000 (50%)]     Batch_Loss: 0.012225       Batch_Acc: 62.000%
[2022-10-19 22:58:42,298][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:42,798][INFO] Train Epoch: 1  [550/1000 (55%)]     Batch_Loss: 0.013043       Batch_Acc: 64.000%
[2022-10-19 22:58:42,798][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:43,157][INFO] Train Epoch: 1  [600/1000 (60%)]     Batch_Loss: 0.016486       Batch_Acc: 60.000%
[2022-10-19 22:58:43,157][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:43,480][INFO] Train Epoch: 1  [650/1000 (65%)]     Batch_Loss: 0.014239       Batch_Acc: 56.000%
[2022-10-19 22:58:43,480][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:44,090][INFO] Train Epoch: 1  [700/1000 (70%)]     Batch_Loss: 0.022081       Batch_Acc: 68.000%
[2022-10-19 22:58:44,090][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:44,515][INFO] Train Epoch: 1  [750/1000 (75%)]     Batch_Loss: 0.015627       Batch_Acc: 60.000%
[2022-10-19 22:58:44,515][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:45,095][INFO] Train Epoch: 1  [800/1000 (80%)]     Batch_Loss: 0.012671       Batch_Acc: 68.000%
[2022-10-19 22:58:45,096][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:45,706][INFO] Train Epoch: 1  [850/1000 (85%)]     Batch_Loss: 0.013360       Batch_Acc: 62.000%
[2022-10-19 22:58:45,706][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:46,202][INFO] Train Epoch: 1  [900/1000 (90%)]     Batch_Loss: 0.013731       Batch_Acc: 62.000%
[2022-10-19 22:58:46,203][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:46,777][INFO] Train Epoch: 1  [950/1000 (95%)]     Batch_Loss: 0.012305       Batch_Acc: 70.000%
[2022-10-19 22:58:46,777][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:46,777][INFO] ###############################################################################################################

[2022-10-19 22:58:46,778][INFO] Train Epoch: [1\200]	time: 8s
[2022-10-19 22:58:46,778][INFO] lr_rate: 0.0001

[2022-10-19 22:58:46,778][INFO] Train_Loss: 0.017232      Train_Acc: 53.000%

[2022-10-19 22:58:46,778][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:48,510][INFO] Test_Loss: 0.020564      Test_Acc: 50.500%

[2022-10-19 22:58:48,511][INFO] --------------------------------------------------------
[2022-10-19 22:58:48,973][INFO] start training!
[2022-10-19 22:58:49,684][INFO] Train Epoch: 2  [0/1000 (0%)]     Batch_Loss: 0.018481       Batch_Acc: 66.000%
[2022-10-19 22:58:49,684][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:50,090][INFO] Train Epoch: 2  [50/1000 (5%)]     Batch_Loss: 0.013063       Batch_Acc: 66.000%
[2022-10-19 22:58:50,091][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:50,515][INFO] Train Epoch: 2  [100/1000 (10%)]     Batch_Loss: 0.014664       Batch_Acc: 62.000%
[2022-10-19 22:58:50,515][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:50,997][INFO] Train Epoch: 2  [150/1000 (15%)]     Batch_Loss: 0.012703       Batch_Acc: 70.000%
[2022-10-19 22:58:50,998][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:51,403][INFO] Train Epoch: 2  [200/1000 (20%)]     Batch_Loss: 0.012867       Batch_Acc: 70.000%
[2022-10-19 22:58:51,403][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:51,847][INFO] Train Epoch: 2  [250/1000 (25%)]     Batch_Loss: 0.012256       Batch_Acc: 62.000%
[2022-10-19 22:58:51,847][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:52,293][INFO] Train Epoch: 2  [300/1000 (30%)]     Batch_Loss: 0.011314       Batch_Acc: 70.000%
[2022-10-19 22:58:52,293][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:52,792][INFO] Train Epoch: 2  [350/1000 (35%)]     Batch_Loss: 0.011572       Batch_Acc: 72.000%
[2022-10-19 22:58:52,792][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:53,408][INFO] Train Epoch: 2  [400/1000 (40%)]     Batch_Loss: 0.014926       Batch_Acc: 62.000%
[2022-10-19 22:58:53,408][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:53,807][INFO] Train Epoch: 2  [450/1000 (45%)]     Batch_Loss: 0.010244       Batch_Acc: 78.000%
[2022-10-19 22:58:53,808][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:54,494][INFO] Train Epoch: 2  [500/1000 (50%)]     Batch_Loss: 0.011006       Batch_Acc: 70.000%
[2022-10-19 22:58:54,494][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:54,995][INFO] Train Epoch: 2  [550/1000 (55%)]     Batch_Loss: 0.012096       Batch_Acc: 68.000%
[2022-10-19 22:58:54,995][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:55,391][INFO] Train Epoch: 2  [600/1000 (60%)]     Batch_Loss: 0.019211       Batch_Acc: 48.000%
[2022-10-19 22:58:55,391][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:55,795][INFO] Train Epoch: 2  [650/1000 (65%)]     Batch_Loss: 0.014529       Batch_Acc: 66.000%
[2022-10-19 22:58:55,796][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:56,105][INFO] Train Epoch: 2  [700/1000 (70%)]     Batch_Loss: 0.016036       Batch_Acc: 68.000%
[2022-10-19 22:58:56,105][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:56,485][INFO] Train Epoch: 2  [750/1000 (75%)]     Batch_Loss: 0.012483       Batch_Acc: 66.000%
[2022-10-19 22:58:56,485][INFO] -----------------------------------------------------------------------------------------------------------
[2022-10-19 22:58:56,798][INFO] Train Epoch: 2  [800/1000 (80%)]     Batch_Loss: 0.011438       Batch_Acc: 74.000%
[2022-10-19 22:58:56,798][INFO] -----------------------------------------------------------------------------------------------------------
